Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),rain (mm),raining (s),SWDR (W/m²),PAR (µmol/m²/s),max. PAR (µmol/m²/s),Tlog (degC),CO2 (ppm)
17.07.2022 17:10:00,998.68,25.21,298.47,3.17,23.88,32.13,7.67,24.45,4.79,7.68,1162.65,3.47,5,30.96,0,0,404.52,781.61,834.91,34.39,410
17.07.2022 17:20:00,998.54,25.14,298.41,3.25,24.12,31.99,7.72,24.28,4.82,7.73,1162.75,2.7,4.58,32.1,0,0,396.74,764.52,782.8,34.42,409.9
17.07.2022 17:30:00,998.42,25.18,298.47,3.46,24.43,32.07,7.83,24.23,4.9,7.85,1162.4,2.98,4.56,38.32,0,0,317.63,619.29,748.42,34.39,409.8
17.07.2022 17:40:00,998.36,24.91,298.2,3.65,25.16,31.56,7.94,23.62,4.96,7.95,1163.33,2.73,4.48,21.16,0,0,266.09,526.35,676.7,34.35,409.7
17.07.2022 17:50:00,998.3,24.97,298.26,3.71,25.17,31.67,7.97,23.7,4.98,7.99,1163.02,3.37,5.12,33.72,0,0,337.54,648.79,671.81,34.22,409.7
17.07.2022 18:00:00,998.24,25.14,298.44,3.87,25.2,31.99,8.06,23.93,5.04,8.08,1162.24,1.75,3.05,19.17,0,0,286.98,557.73,619.59,34.08,409.7
17.07.2022 18:10:00,998.21,25.24,298.54,3.92,25.14,32.18,8.09,24.09,5.06,8.11,1161.81,2.66,4.78,30.15,0,0,262.56,509.84,548.25,34,409.7
17.07.2022 18:20:00,998.2,25.14,298.44,3.87,25.21,31.99,8.07,23.93,5.04,8.08,1162.2,1.91,3.16,18.47,0,0,235.84,457.94,481.08,33.97,409.5
17.07.2022 18:30:00,998.16,25.07,298.38,3.97,25.48,31.86,8.12,23.74,5.07,8.13,1162.4,2.4,4.15,31.54,0,0,191.29,374.59,416.57,33.94,409.9
17.07.2022 18:40:00,998.16,24.8,298.11,3.91,25.79,31.35,8.09,23.27,5.05,8.1,1163.46,2.71,4.24,35.85,0,0,192.32,367.96,386.36,33.89,410.2
17.07.2022 18:50:00,998.14,24.74,298.05,4.19,26.4,31.24,8.25,22.99,5.16,8.26,1163.61,2.15,3.47,26.5,0,0,131.5,261.87,355.39,33.78,409.8
17.07.2022 19:00:00,998.14,24.28,297.59,4.07,26.91,30.39,8.18,22.21,5.11,8.19,1165.43,1.97,2.93,34.65,0,0,54.01,128.37,143.87,33.56,410.4
17.07.2022 19:10:00,998.15,23.8,297.11,4.17,27.88,29.53,8.23,21.3,5.15,8.25,1167.31,2.2,3.35,44.8,0,0,39.91,100.59,109.88,33.2,410.4
17.07.2022 19:20:00,998.18,23.59,296.89,4.06,28.03,29.16,8.17,20.99,5.11,8.19,1168.2,2.11,3,38.79,0,0,35.72,89.6,94.72,32.79,410.2
17.07.2022 19:30:00,998.21,23.46,296.76,4.28,28.68,28.93,8.3,20.63,5.19,8.31,1168.69,1.9,3.32,14.74,0,0,28.46,72.59,82.18,32.36,410.9
17.07.2022 19:40:00,998.31,23.28,296.57,4.5,29.45,28.62,8.43,20.19,5.27,8.44,1169.46,2.01,2.55,358.6,0,0,21.93,55.9,63.49,31.93,411.5
17.07.2022 19:50:00,998.34,23.21,296.5,4.41,29.39,28.5,8.38,20.12,5.23,8.39,1169.79,1.76,2.42,10.05,0,0,17.34,43.91,49.63,31.49,411.5
17.07.2022 20:00:00,998.4,23.12,296.41,4.36,29.45,28.34,8.35,20,5.22,8.36,1170.23,1.86,2.34,9.27,0,0,10.68,29.67,36.86,31.08,411.2
17.07.2022 20:10:00,998.46,22.89,296.17,4.35,29.83,27.95,8.34,19.61,5.21,8.35,1171.21,1.91,2.29,6.81,0,0,4.18,17.24,22.59,30.69,410.8
17.07.2022 20:20:00,998.52,22.64,295.92,4.49,30.6,27.53,8.42,19.11,5.26,8.44,1172.23,1.28,1.95,0.07,0,0,0.24,9.43,12.52,30.33,411.2
17.07.2022 20:30:00,998.67,21.94,295.2,4.62,32.22,26.38,8.5,17.88,5.31,8.51,1175.16,1.3,2.79,21.1,0,0,0,4.7,6.72,30,412
17.07.2022 20:40:00,998.78,21.67,294.92,5.03,33.71,25.95,8.75,17.2,5.47,8.76,1176.25,1.79,2.52,5.25,0,0,0,1.77,2.89,29.67,414.2
17.07.2022 20:50:00,998.89,21.31,294.55,5.2,34.86,25.39,8.85,16.54,5.53,8.86,1177.78,1.75,2.67,13.66,0,0,0,0,0,29.36,414.8
17.07.2022 21:00:00,999.02,20.96,294.19,5.41,36.14,24.85,8.98,15.87,5.61,8.99,1179.27,2.11,2.85,9.08,0,0,0,0,0,29.04,416.2
17.07.2022 21:10:00,999.05,20.72,293.95,5.48,36.86,24.48,9.02,15.46,5.64,9.03,1180.25,1.99,2.75,6.51,0,0,0,0,0,28.72,416.2
17.07.2022 21:20:00,999.13,20.56,293.78,5.53,37.36,24.24,9.06,15.19,5.66,9.07,1180.98,2.14,2.86,356.8,0,0,0,0,0,28.41,415.8
17.07.2022 21:30:00,999.15,20.4,293.62,5.72,38.23,24.01,9.18,14.83,5.73,9.19,1181.59,1.97,2.97,360,0,0,0,0,0,28.1,415.7
17.07.2022 21:40:00,999.24,19.86,293.07,5.82,39.8,23.22,9.24,13.98,5.77,9.25,1183.85,0.69,1.3,2.39,0,0,0,0,0,27.81,417.9
17.07.2022 21:50:00,999.27,19.93,293.14,5.77,39.5,23.32,9.21,14.11,5.75,9.22,1183.62,2.4,3.17,0.93,0,0,0,0,0,27.54,416.5
17.07.2022 22:00:00,999.36,19.95,293.15,5.69,39.24,23.35,9.16,14.19,5.72,9.17,1183.66,2.04,2.87,359.8,0,0,0,0,0,27.26,416.3
17.07.2022 22:10:00,999.45,19.73,292.93,5.71,39.82,23.03,9.17,13.86,5.73,9.18,1184.65,1.14,2,9.67,0,0,0,0,0,27.01,416.4
17.07.2022 22:20:00,999.48,19.71,292.9,5.57,39.48,23,9.08,13.92,5.67,9.09,1184.81,1.51,2.11,12.86,0,0,0,0,0,26.79,416.3
17.07.2022 22:30:00,999.56,19.14,292.33,5.82,41.62,22.2,9.24,12.96,5.77,9.24,1187.14,0.8,1.27,203.7,0,0,0,0,0,26.59,419.1
17.07.2022 22:40:00,999.56,18.73,291.92,5.71,42.39,21.64,9.17,12.47,5.73,9.18,1188.84,0.49,0.99,231.6,0,0,0,0,0,26.4,418.8
17.07.2022 22:50:00,999.59,18.64,291.82,5.56,42.17,21.52,9.07,12.44,5.67,9.08,1189.29,0.27,0.43,266.4,0,0,0,0,0,26.23,417.7
17.07.2022 23:00:00,999.6,18.66,291.84,5.68,42.49,21.55,9.15,12.39,5.72,9.16,1189.18,0.68,1.24,23.55,0,0,0,0,0,26.08,418.3
17.07.2022 23:10:00,999.68,18.59,291.77,6.12,43.98,21.45,9.43,12.02,5.89,9.44,1189.44,0.66,1.08,84,0,0,0,0,0,25.93,422.2
17.07.2022 23:20:00,999.8,17.78,290.95,6.54,47.66,20.39,9.72,10.67,6.07,9.72,1192.76,0.4,0.68,124.9,0,0,0,0,0,25.79,432.2
17.07.2022 23:30:00,999.83,17.56,290.72,6.37,47.75,20.11,9.6,10.51,5.99,9.6,1193.75,0.14,0.34,5.41,0,0,0,0,0,25.64,428.2
17.07.2022 23:40:00,999.73,17.69,290.86,6.33,47.22,20.27,9.57,10.7,5.98,9.58,1193.12,0.27,0.61,59.78,0,0,0,0,0,25.48,426
17.07.2022 23:50:00,999.66,17.51,290.69,6.58,48.59,20.04,9.74,10.3,6.08,9.74,1193.69,0.33,0.55,132.2,0,0,0,0,0,25.34,432.4
18.07.2022 00:00:00,999.64,17.23,290.41,6.24,48.31,19.69,9.51,10.18,5.94,9.52,1194.92,0.24,0.43,5.36,0,0,0,0,0,25.2,426.8
18.07.2022 00:10:00,999.56,16.91,290.1,6.54,50.34,19.3,9.71,9.58,6.07,9.72,1196.05,0.49,0.95,124.1,0,0,0,0,0,25.03,434.6
18.07.2022 00:20:00,999.53,16.18,289.37,6.4,52.24,18.42,9.62,8.8,6.01,9.63,1199.08,0.46,1.17,230.1,0,0,0,0,0,24.87,432.3
18.07.2022 00:30:00,999.59,15.76,288.94,5.85,51.66,17.93,9.26,8.67,5.78,9.27,1201.06,1.68,2.24,219.2,0,0,0,0,0,24.65,432.1
18.07.2022 00:40:00,999.57,15.63,288.82,5.61,51.2,17.78,9.11,8.68,5.69,9.11,1201.65,1.1,1.96,224,0,0,0,0,0,24.36,429
18.07.2022 00:50:00,999.5,15.4,288.59,5.65,52.11,17.52,9.13,8.39,5.7,9.14,1202.51,0.74,1.82,245.6,0,0,0,0,0,24.07,428.3
18.07.2022 01:00:00,999.44,15.43,288.63,5.47,51.38,17.56,9.02,8.54,5.63,9.03,1202.37,1.52,1.96,228,0,0,0,0,0,23.8,429.1
18.07.2022 01:10:00,999.37,15.46,288.66,5.51,51.42,17.59,9.05,8.55,5.65,9.05,1202.14,1.75,2.21,236.9,0,0,0,0,0,23.53,429.9
18.07.2022 01:20:00,999.4,15.47,288.67,5.49,51.31,17.6,9.03,8.57,5.64,9.04,1202.14,1.06,1.97,246.2,0,0,0,0,0,23.3,429.9
18.07.2022 01:30:00,999.4,15.14,288.34,6.01,54.33,17.23,9.36,7.87,5.85,9.37,1203.37,0.54,0.81,60.96,0,0,0,0,0,23.09,434.3
18.07.2022 01:40:00,999.39,14.58,287.78,6.42,57.95,16.62,9.63,6.99,6.02,9.64,1205.58,0.39,0.73,43.69,0,0,0,0,0,22.89,440.4
18.07.2022 01:50:00,999.4,14.31,287.51,5.8,56.5,16.33,9.23,7.11,5.76,9.23,1206.9,0.9,1.89,216.8,0,0,0,0,0,22.69,434.9
18.07.2022 02:00:00,999.35,14.17,287.37,5.61,56.29,16.19,9.11,7.08,5.69,9.12,1207.48,1.16,1.76,218.7,0,0,0,0,0,22.5,434.7
18.07.2022 02:10:00,999.36,14.07,287.27,5.59,56.55,16.08,9.09,6.99,5.68,9.1,1207.92,1,1.49,225.8,0,0,0,0,0,22.31,434.8
18.07.2022 02:20:00,999.37,13.85,287.05,5.82,58.31,15.85,9.24,6.61,5.77,9.25,1208.79,0.99,1.37,207.9,0,0,0,0,0,22.12,439.4
18.07.2022 02:30:00,999.38,13.67,286.87,6.34,61.15,15.67,9.58,6.09,5.99,9.59,1209.41,0.49,1.04,210.6,0,0,0,0,0,21.94,446.2
18.07.2022 02:40:00,999.41,13.53,286.73,6.04,60.46,15.53,9.39,6.14,5.86,9.39,1210.12,0.38,0.6,88.9,0,0,0,0,0,21.77,441.2
18.07.2022 02:50:00,999.41,13.27,286.47,6.31,62.62,15.27,9.56,5.71,5.97,9.56,1211.15,0.35,0.87,34.44,0,0,0,0,0,21.6,445.9
18.07.2022 03:00:00,999.43,12.87,286.07,6.24,64,14.87,9.52,5.35,5.94,9.52,1212.88,0.4,1.01,155.8,0,0,0,0,0,21.43,447.9
18.07.2022 03:10:00,999.46,12.51,285.7,5.97,64.32,14.52,9.34,5.18,5.83,9.35,1214.53,0.84,1.44,218.2,0,0,0,0,0,21.25,443.8
18.07.2022 03:20:00,999.39,12.37,285.57,6.2,65.93,14.39,9.49,4.9,5.93,9.49,1214.97,0.45,0.71,183.1,0,0,0,0,0,21.07,447.6
18.07.2022 03:30:00,999.32,12.27,285.48,6.34,67.01,14.3,9.58,4.72,5.98,9.59,1215.26,0.45,0.82,212.8,0,0,0,0,0,20.9,450.7
18.07.2022 03:40:00,999.37,12.24,285.44,6.45,67.67,14.27,9.66,4.61,6.03,9.66,1215.43,0.36,0.64,142,0,0,0,0,0,20.74,452.5
18.07.2022 03:50:00,999.34,12.2,285.4,6.37,67.49,14.23,9.6,4.63,6,9.61,1215.58,0.48,1.01,133.9,0,0,0,0,0,20.53,452.5
18.07.2022 04:00:00,999.27,12.01,285.22,6.35,68.24,14.05,9.59,4.46,5.99,9.6,1216.31,0.35,0.59,179,0,0,0,0,1.22,20.28,452.2
18.07.2022 04:10:00,999.28,11.57,284.78,5.98,68.46,13.65,9.34,4.31,5.84,9.35,1218.31,0.54,1.17,167.2,0,0,0,2.44,4.04,20.05,447.8
18.07.2022 04:20:00,999.28,11.49,284.7,5.9,68.46,13.58,9.3,4.28,5.81,9.3,1218.68,1.06,1.9,207.7,0,0,0.37,6.41,9.23,19.85,445.5
18.07.2022 04:30:00,999.27,11.41,284.62,5.96,69.09,13.51,9.33,4.17,5.83,9.34,1218.99,1.08,1.89,208.7,0,0,3.58,13.35,18,19.65,447
18.07.2022 04:40:00,999.28,11.38,284.59,6.15,70.16,13.48,9.46,4.02,5.91,9.46,1219.08,0.35,0.71,208,0,0,8.9,24.43,31.85,19.47,450.6
18.07.2022 04:50:00,999.34,11.56,284.76,6.36,70.34,13.64,9.6,4.05,5.99,9.6,1218.32,0.22,0.43,321.6,0,0,21.38,41.46,51.74,19.33,454.2
18.07.2022 05:00:00,999.27,11.94,285.15,6.29,68.27,13.99,9.55,4.44,5.97,9.56,1216.63,0.73,1.15,215.3,0,0,36.38,64.05,76.65,19.25,452
18.07.2022 05:10:00,999.35,12.29,285.49,6.09,65.77,14.31,9.41,4.9,5.88,9.42,1215.3,0.45,0.72,33.16,0,0,51.5,91.87,107.71,19.28,444.6
18.07.2022 05:20:00,999.37,12.91,286.11,6.32,64.19,14.91,9.57,5.34,5.98,9.58,1212.62,0.43,1.05,115.2,0,0,68.64,124.97,142.44,19.42,446.2
18.07.2022 05:30:00,999.36,12.68,285.88,6.38,65.41,14.69,9.61,5.08,6,9.61,1213.57,0.69,1.14,180.7,0,0,86.52,161.9,180.41,19.62,451
18.07.2022 05:40:00,999.29,12.57,285.78,6.78,67.73,14.58,9.88,4.71,6.17,9.88,1213.82,0.88,1.23,158.5,0,0,108.6,208.16,234.17,19.82,463.2
18.07.2022 05:50:00,999.24,13.05,286.26,7.03,66.78,15.05,10.05,5,6.28,10.06,1211.64,0.47,1.17,171.4,0,0,133.46,260.34,285.04,20.03,468.4
18.07.2022 06:00:00,999.15,13.69,286.91,7.01,63.97,15.69,10.04,5.65,6.27,10.04,1208.84,0.73,1.02,144.6,0,0,158.11,309.4,333.86,20.27,467.5
18.07.2022 06:10:00,999.13,14.1,287.32,7,62.22,16.11,10.03,6.09,6.27,10.03,1207.09,1.09,1.8,155,0,0,182.57,355.19,378.45,20.64,465.5
18.07.2022 06:20:00,999.21,14.15,287.37,6.81,61.24,16.17,9.9,6.27,6.19,9.91,1207.04,1.36,2.15,152.6,0,0,207.42,399.2,415.73,21.06,461.6
18.07.2022 06:30:00,999.16,14.13,287.35,6.68,60.75,16.14,9.81,6.34,6.13,9.82,1207.1,1.39,2.05,156,0,0,229.87,436.92,465.13,21.43,459.7
18.07.2022 06:40:00,999.18,13.93,287.15,6.66,61.48,15.94,9.8,6.14,6.12,9.81,1207.97,1.24,1.86,133.8,0,0,260.2,496.76,525.51,21.76,459.3
18.07.2022 06:50:00,999.2,14.55,287.77,6.94,60.21,16.59,9.99,6.6,6.24,10,1205.3,1.28,1.86,143.3,0,0,289.06,554.49,577.75,22.1,459.4
18.07.2022 07:00:00,999.18,14.87,288.09,7,59.2,16.94,10.03,6.91,6.27,10.03,1203.92,1.26,1.93,152.7,0,0,303.57,584.56,631.25,22.5,457.5
18.07.2022 07:10:00,999.11,15.24,288.46,7.02,57.88,17.34,10.04,7.31,6.27,10.05,1202.29,1.19,1.87,151.2,0,0,343,660.38,689.66,22.93,454.7
18.07.2022 07:20:00,999.13,15.79,289.01,7.05,56.02,17.97,10.07,7.9,6.29,10.07,1200.02,1.05,1.9,158.8,0,0,370.91,715.61,743.21,23.42,452
18.07.2022 07:30:00,999.13,16.36,289.58,7.25,54.74,18.63,10.2,8.43,6.37,10.21,1197.59,0.98,1.85,141.4,0,0,398.52,772.04,798.86,23.98,451.9
18.07.2022 07:40:00,999.09,16.98,290.21,7.34,52.95,19.38,10.26,9.12,6.41,10.27,1194.95,1.19,1.68,137,0,0,429.9,833.86,887.06,24.67,451.3
18.07.2022 07:50:00,999.06,17.8,291.03,7.35,50.3,20.41,10.27,10.15,6.42,10.28,1191.54,0.76,1.52,144.8,0,0,424.3,828.34,929.27,25.36,448.3
18.07.2022 08:00:00,999,18.64,291.87,7.12,46.98,21.52,10.11,11.41,6.32,10.12,1188.12,0.87,1.9,133.2,0,0,434.54,852.93,915.8,26.06,443.3
18.07.2022 08:10:00,998.93,19,292.24,7.13,45.97,22.01,10.12,11.89,6.32,10.13,1186.57,1.06,2.09,149.1,0,0,459.53,898.91,991,26.81,441.2
18.07.2022 08:20:00,998.92,19.41,292.65,7.1,44.72,22.58,10.1,12.48,6.31,10.11,1184.9,0.93,1.59,129.2,0,0,477.84,935.63,1041.76,27.56,438.9
18.07.2022 08:30:00,998.89,19.59,292.83,6.87,43.52,22.83,9.94,12.9,6.21,9.95,1184.21,1.08,2,137,0,0,532.98,1040.5,1120.42,28.33,435.7
18.07.2022 08:40:00,998.89,20.46,293.7,6.49,40.19,24.1,9.68,14.41,6.05,9.69,1180.81,1.03,1.92,142.4,0,0,578.65,1127.85,1151.99,29.11,430.1
18.07.2022 08:50:00,998.82,21.2,294.45,6.48,38.37,25.22,9.68,15.54,6.05,9.69,1177.76,0.92,2.1,147.6,0,0,579.83,1134.06,1198.48,29.94,427.6
18.07.2022 09:00:00,998.78,21.45,294.7,5.65,35.66,25.61,9.13,16.48,5.71,9.14,1176.97,1.22,2.36,147.6,0,0,614.78,1200.44,1229.09,30.78,423.8
18.07.2022 09:10:00,998.68,22.31,295.57,5.72,34.01,26.99,9.18,17.81,5.74,9.19,1173.39,0.98,2.25,144.3,0,0,643.08,1255.62,1323.13,31.58,422.8
18.07.2022 09:20:00,998.62,22.91,296.18,6,33.45,27.99,9.36,18.62,5.85,9.37,1170.86,1.08,2.2,147,0,0,619.78,1218.06,1313.71,32.34,423.1
18.07.2022 09:30:00,998.43,23.21,296.49,6.48,33.94,28.5,9.67,18.83,6.05,9.69,1169.33,1.14,1.85,143.8,0,0,668.18,1308.35,1352.17,33.04,422.9
18.07.2022 09:40:00,998.35,23.27,296.56,6.88,34.77,28.6,9.94,18.66,6.22,9.96,1168.87,0.96,2.32,53.59,0,0,654.69,1287.29,1384.09,33.65,421.9
18.07.2022 09:50:00,998.27,23.53,296.83,6.55,33.45,29.05,9.72,19.34,6.08,9.74,1167.85,1.4,2.04,91.1,0,0,688.89,1349.75,1421.57,34.18,420.2
18.07.2022 10:00:00,998.26,23.87,297.17,5.53,30.55,29.65,9.06,20.59,5.66,9.08,1166.79,0.98,1.92,100.6,0,0,734.32,1435.68,1521.95,34.65,416
18.07.2022 10:10:00,998.3,24.49,297.78,5.08,28.52,30.78,8.78,22,5.49,8.79,1164.54,1.41,2.55,57.38,0,0,657.77,1298.92,1445.46,35.11,414.4
18.07.2022 10:20:00,998.3,24.44,297.73,4.85,28.16,30.68,8.64,22.04,5.4,8.66,1164.8,1.82,2.6,73.34,0,0,637.59,1251.37,1588.06,35.54,413.6
18.07.2022 10:30:00,998.26,24.62,297.92,4.42,27.03,31.02,8.38,22.63,5.24,8.4,1164.16,1.61,2.7,56.97,0,0,656.78,1295.8,1627.67,35.84,411.4
18.07.2022 10:40:00,998.23,25.08,298.38,3.75,25.08,31.88,8,23.88,5,8.01,1162.5,1.63,2.26,80.1,0,0,705.69,1397.02,1812.55,36.03,409
18.07.2022 10:50:00,998.21,25.4,298.7,4.27,25.53,32.49,8.29,24.2,5.19,8.31,1161.09,0.98,2.27,97.1,0,0,698.41,1373.48,1564.09,36.21,409.3
18.07.2022 11:00:00,998.19,26.22,299.53,4.54,24.79,34.11,8.46,25.65,5.29,8.47,1157.82,1.72,3.05,121.4,0,0,737.52,1452.46,1604.66,36.47,410.3
18.07.2022 11:10:00,998.12,25.81,299.12,4.67,25.62,33.29,8.53,24.76,5.33,8.55,1159.3,2.13,3.21,73.88,0,0,727.76,1430.8,1588.84,36.74,410.9
18.07.2022 11:20:00,998.06,26,299.32,3.89,23.99,33.67,8.08,25.59,5.05,8.09,1158.68,1.45,3.17,95.8,0,0,735.19,1448.82,1585.61,36.93,410.8
18.07.2022 11:30:00,998.02,26.12,299.44,3.46,23.1,33.91,7.83,26.07,4.9,7.85,1158.28,2.22,3.48,90.3,0,0,810.75,1591.61,1695.2,37.09,410.6
18.07.2022 11:40:00,997.91,26.41,299.74,4.15,23.85,34.49,8.23,26.26,5.14,8.24,1156.86,1.73,3.79,92.2,0,0,729.97,1442.1,1545.58,37.23,411.1
18.07.2022 11:50:00,997.9,26.62,299.95,4.31,23.82,34.92,8.32,26.6,5.2,8.34,1156,2.3,4.08,94.1,0,0,842.29,1659.35,1815.3,37.37,411.2
18.07.2022 12:00:00,997.84,26.65,299.99,4.69,24.41,34.98,8.54,26.44,5.34,8.56,1155.71,1.8,3.12,106.8,0,0,861.53,1695.4,1819.11,37.5,411.6
18.07.2022 12:10:00,997.79,27.4,300.74,4.89,23.7,36.55,8.66,27.89,5.42,8.68,1152.71,1.39,2.9,156.9,0,0,885.55,1737.83,1861.06,37.67,411.4
18.07.2022 12:20:00,997.68,27.67,301.02,5.39,24.15,37.13,8.97,28.17,5.61,8.99,1151.42,1.98,3.38,99.7,0,0,792.21,1558.28,1655.56,37.94,411.2
18.07.2022 12:30:00,997.58,27.47,300.83,5.53,24.68,36.7,9.06,27.65,5.67,9.08,1152.04,2.57,4.28,50.4,0,0,789.96,1553.34,1696.17,38.2,410.9
18.07.2022 12:40:00,997.51,27.17,300.53,5.34,24.79,36.07,8.94,27.12,5.59,8.96,1153.16,2.74,4.43,42.48,0,0,800.93,1572.53,1739.16,38.36,410.9
18.07.2022 12:50:00,997.4,27.86,301.23,5.62,24.28,37.55,9.12,28.43,5.71,9.14,1150.31,1.32,3.6,102.1,0,0,797.53,1570.26,1746.11,38.42,411.4
18.07.2022 13:00:00,997.32,28.01,301.39,5.71,24.22,37.88,9.17,28.7,5.74,9.2,1149.61,2.26,3.2,92.8,0,0,780.5,1532.85,1660.23,38.46,411.3
18.07.2022 13:10:00,997.23,27.83,301.22,5.62,24.31,37.48,9.11,28.37,5.7,9.14,1150.23,2.45,4.23,68.79,0,0,744.95,1462.27,1575.16,38.54,411.3
18.07.2022 13:20:00,997.14,27.67,301.07,5.73,24.74,37.13,9.19,27.95,5.75,9.21,1150.71,2.98,4.4,43.55,0,0,759.47,1489.24,1637.18,38.62,411.3
18.07.2022 13:30:00,997.05,28.01,301.41,5.85,24.45,37.88,9.26,28.62,5.8,9.29,1149.27,2.5,4.38,86.5,0,0,740.55,1449.58,1612.98,38.66,411.2
18.07.2022 13:40:00,996.88,28.35,301.77,5.98,24.19,38.63,9.35,29.29,5.85,9.37,1147.73,1.8,3.81,94,0,0,711.7,1397.01,1505.58,38.69,411.4
18.07.2022 13:50:00,996.75,28.29,301.72,6.2,24.65,38.5,9.49,29.01,5.94,9.52,1147.76,3.05,4.95,56.86,0,0,724.32,1414.83,1538.57,38.75,410.9
18.07.2022 14:00:00,996.68,28.38,301.82,6.24,24.58,38.7,9.51,29.19,5.96,9.54,1147.32,2.1,3.48,82.2,0,0,652.83,1278.19,1441.66,38.82,410.8
18.07.2022 14:10:00,996.62,28.47,301.91,6.46,24.84,38.9,9.66,29.24,6.05,9.7,1146.84,2.57,4.6,71.33,0,0,639.76,1253.16,1331.45,38.89,410.8
18.07.2022 14:20:00,996.56,28.54,301.99,6.65,25.06,39.06,9.79,29.27,6.13,9.82,1146.46,3.02,4.81,58.62,0,0,621.48,1217.71,1335.28,38.96,410.8
18.07.2022 14:30:00,996.53,28.44,301.89,6.69,25.27,38.84,9.81,29.02,6.15,9.85,1146.79,3.32,5.34,34.7,0,0,591.16,1159.76,1276.93,39.01,410.6
18.07.2022 14:40:00,996.49,28.49,301.94,6.86,25.49,38.95,9.93,29.02,6.22,9.96,1146.51,2.92,4.3,72.87,0,0,564.34,1107.32,1197.59,38.98,410.3
18.07.2022 14:50:00,996.44,28.47,301.93,6.87,25.55,38.9,9.94,28.96,6.23,9.98,1146.51,2.25,3.32,94.8,0,0,539.72,1063.53,1109.42,38.9,410.3
18.07.2022 15:00:00,996.38,28.8,302.26,7.08,25.42,39.65,10.08,29.57,6.32,10.12,1145.13,1.87,3.47,95.9,0,0,497.42,981.66,1085.43,38.84,410.6
18.07.2022 15:10:00,996.33,29.12,302.59,7.38,25.48,40.39,10.29,30.1,6.45,10.33,1143.77,1.87,3.13,90.8,0,0,581.17,1141.93,1246.42,38.83,410.9
18.07.2022 15:20:00,996.29,29.28,302.75,7.17,24.89,40.77,10.15,30.62,6.36,10.19,1143.18,1.91,3.47,71.88,0,0,536.26,1054.07,1106.05,38.88,410.5
18.07.2022 15:30:00,996.23,29.19,302.67,7.05,24.81,40.56,10.06,30.5,6.31,10.1,1143.48,1.79,2.9,95.5,0,0,509.79,1004.26,1152.81,38.98,410.4
18.07.2022 15:40:00,996.1,29.57,303.06,7.42,24.89,41.45,10.32,31.14,6.47,10.36,1141.79,1.65,3.17,113,0,0,566.72,1110.59,1249.75,39.09,411
18.07.2022 15:50:00,996.03,29.49,302.98,7.18,24.61,41.26,10.16,31.11,6.37,10.2,1142.09,1.63,2.81,58.11,0,0,522.63,1026.58,1098.94,39.22,410.3
18.07.2022 16:00:00,995.95,29.68,303.18,7.25,24.46,41.72,10.2,31.51,6.4,10.25,1141.26,1.81,3.54,44.93,0,0,535.1,1048.97,1116.42,39.37,410.3
18.07.2022 16:10:00,995.84,29.68,303.19,7.31,24.56,41.72,10.25,31.47,6.42,10.29,1141.11,1.78,3.38,17.67,0,0,483.28,947.24,1049.75,39.5,410.3
18.07.2022 16:20:00,995.76,29.89,303.41,7.45,24.5,42.22,10.34,31.88,6.49,10.39,1140.18,1.31,2.74,82.4,0,0,437.92,864.67,948.17,39.61,410.9
18.07.2022 16:30:00,995.76,29.73,303.25,7.23,24.35,41.84,10.19,31.65,6.39,10.23,1140.85,1.94,2.58,33.22,0,0,402.06,792.45,851.23,39.68,411.1
18.07.2022 16:40:00,995.72,29.53,303.05,7.06,24.35,41.36,10.07,31.29,6.32,10.11,1141.62,1.35,2.12,71.83,0,0,306.99,613.38,720.82,39.72,410.9
18.07.2022 16:50:00,995.63,29.65,303.18,7.2,24.41,41.65,10.17,31.48,6.38,10.21,1141.01,0.83,1.51,82.4,0,0,337.15,668.91,787.82,39.7,411.9
18.07.2022 17:00:00,995.5,29.92,303.46,7.21,24.06,42.3,10.18,32.12,6.38,10.22,1139.84,1.06,1.92,64.73,0,0,291.93,585.26,687.6,39.66,411.4
18.07.2022 17:10:00,995.36,29.87,303.42,7.14,24,42.18,10.12,32.05,6.35,10.17,1139.89,0.89,1.47,357.1,0,0,345.25,685.03,751.25,39.62,411.6
18.07.2022 17:20:00,995.26,30.05,303.61,7.16,23.79,42.61,10.14,32.48,6.36,10.19,1139.09,1.19,1.58,356,0,0,272.72,547.48,681.92,39.59,412.6
18.07.2022 17:30:00,995.23,29.81,303.37,7.05,23.94,42.03,10.06,31.97,6.31,10.11,1140,1.45,2.08,359.9,0,0,251.51,505.72,565.4,39.54,412
18.07.2022 17:40:00,995.21,29.83,303.4,7.36,24.42,42.08,10.28,31.8,6.45,10.33,1139.81,1.55,2.55,29,0,0,268.28,535.39,595.48,39.44,412.2
18.07.2022 17:50:00,995.12,29.79,303.36,7.29,24.36,41.98,10.23,31.76,6.42,10.28,1139.87,1.96,2.39,46.71,0,0,277.62,545.79,628.88,39.32,411.4
18.07.2022 18:00:00,995.06,29.99,303.57,7.29,24.08,42.47,10.23,32.24,6.42,10.28,1139.06,1.1,2.14,82.1,0,0,278.92,545,615.9,39.19,411.7
